Nr.;Kategorie;Slowakisch;Deutsch;Beispielsatz SK;Übersetzung DE
1;01 Grundlagen;áno;ja;Áno, mám čas.;Ja, ich habe Zeit.
2;01 Grundlagen;nie;nein;Nie, dnes nemôžem.;Nein, heute kann ich nicht.
3;01 Grundlagen;prosím;bitte;Jednu kávu, prosím.;Einen Kaffee, bitte.
4;01 Grundlagen;ďakujem;danke;Ďakujem za pomoc.;Danke für die Hilfe.
5;01 Grundlagen;ahoj;hallo;Ahoj, ako sa máš?;Hallo, wie geht es dir?
6;01 Grundlagen;dobrý;gut;Dnes si zapamätám slovo „dobrý“.;Heute merke ich mir das Wort „gut“.
7;01 Grundlagen;zle;schlecht;Dnes si zapamätám slovo „zle“.;Heute merke ich mir das Wort „schlecht“.
8;01 Grundlagen;dobre;gut;Dnes si zapamätám slovo „dobre“.;Heute merke ich mir das Wort „gut“.
9;01 Grundlagen;tu;hier;Som tu.;Ich bin hier.
10;01 Grundlagen;tam;dort;Auto je tam.;Das Auto ist dort.
11;01 Grundlagen;kde;wo;Kde je stanica?;Wo ist der Bahnhof?
12;01 Grundlagen;kedy;wann;Kedy prídeš?;Wann kommst du?
13;01 Grundlagen;ako;wie;Ako sa máš?;Wie geht es dir?
14;01 Grundlagen;čo;was;Čo robíš?;Was machst du?
15;01 Grundlagen;kto;wer;Kto je to?;Wer ist das?
16;01 Grundlagen;prečo;warum;Prečo sa smeješ?;Warum lachst du?
17;01 Grundlagen;preto;deshalb;Dnes si zapamätám slovo „preto“.;Heute merke ich mir das Wort „deshalb“.
18;01 Grundlagen;koľko;wie viel;Koľko to stojí?;Wie viel kostet das?
19;01 Grundlagen;ktorý;welcher;Dnes si zapamätám slovo „ktorý“.;Heute merke ich mir das Wort „welcher“.
20;01 Grundlagen;aký;was für ein;Dnes si zapamätám slovo „aký“.;Heute merke ich mir das Wort „was für ein“.
21;01 Grundlagen;tento;dieser;Dnes si zapamätám slovo „tento“.;Heute merke ich mir das Wort „dieser“.
22;01 Grundlagen;ten;jener/der;Dnes si zapamätám slovo „ten“.;Heute merke ich mir das Wort „jener/der“.
23;01 Grundlagen;to;das;Dnes si zapamätám slovo „to“.;Heute merke ich mir das Wort „das“.
24;01 Grundlagen;tá;die;Dnes si zapamätám slovo „tá“.;Heute merke ich mir das Wort „die“.
25;01 Grundlagen;toto;dies;Dnes si zapamätám slovo „toto“.;Heute merke ich mir das Wort „dies“.
26;01 Grundlagen;nič;nichts;Nič nepotrebujem.;Ich brauche nichts.
27;01 Grundlagen;niečo;etwas;Chcem niečo jesť.;Ich möchte etwas essen.
28;01 Grundlagen;všetko;alles;Všetko je v poriadku.;Alles ist in Ordnung.
29;01 Grundlagen;každý;jeder;Dnes si zapamätám slovo „každý“.;Heute merke ich mir das Wort „jeder“.
30;01 Grundlagen;niekto;jemand;Dnes si zapamätám slovo „niekto“.;Heute merke ich mir das Wort „jemand“.
31;01 Grundlagen;nikto;niemand;Dnes si zapamätám slovo „nikto“.;Heute merke ich mir das Wort „niemand“.
32;01 Grundlagen;veľa;viel;Mám veľa práce.;Ich habe viel Arbeit.
33;01 Grundlagen;málo;wenig;Mám málo času.;Ich habe wenig Zeit.
34;01 Grundlagen;viac;mehr;Dnes si zapamätám slovo „viac“.;Heute merke ich mir das Wort „mehr“.
35;01 Grundlagen;menej;weniger;Dnes si zapamätám slovo „menej“.;Heute merke ich mir das Wort „weniger“.
36;01 Grundlagen;dosť;genug;To je dosť.;Das ist genug.
37;01 Grundlagen;príliš;zu/sehr;Dnes si zapamätám slovo „príliš“.;Heute merke ich mir das Wort „zu/sehr“.
38;01 Grundlagen;veľmi;sehr;Je to veľmi dobré.;Es ist sehr gut.
39;01 Grundlagen;trochu;ein bisschen;Hovorím trochu po slovensky.;Ich spreche ein bisschen Slowakisch.
40;01 Grundlagen;iba;nur;Dnes si zapamätám slovo „iba“.;Heute merke ich mir das Wort „nur“.
41;01 Grundlagen;len;nur;Dnes si zapamätám slovo „len“.;Heute merke ich mir das Wort „nur“.
42;01 Grundlagen;aj;auch;Aj ja.;Ich auch.
43;01 Grundlagen;ešte;noch;Ešte jednu kávu, prosím.;Noch einen Kaffee, bitte.
44;01 Grundlagen;už;schon;Už som doma.;Ich bin schon zu Hause.
45;01 Grundlagen;zase;wieder;Dnes si zapamätám slovo „zase“.;Heute merke ich mir das Wort „wieder“.
46;01 Grundlagen;vždy;immer;Vždy prídem načas.;Ich komme immer pünktlich.
47;01 Grundlagen;nikdy;nie;Nikdy tam nechodím.;Ich gehe nie dorthin.
48;01 Grundlagen;často;oft;Často počúvam hudbu.;Ich höre oft Musik.
49;01 Grundlagen;niekedy;manchmal;Niekedy chodím pešo.;Manchmal gehe ich zu Fuß.
50;01 Grundlagen;teraz;jetzt;Teraz nemám čas.;Jetzt habe ich keine Zeit.
51;01 Grundlagen;potom;danach;Potom pôjdeme domov.;Danach gehen wir nach Hause.
52;01 Grundlagen;dnes;heute;Dnes pracujem.;Heute arbeite ich.
53;01 Grundlagen;zajtra;morgen;Zajtra mám voľno.;Morgen habe ich frei.
54;01 Grundlagen;včera;gestern;Včera som bol doma.;Gestern war ich zu Hause.
55;01 Grundlagen;ráno;morgens;Ráno pijem kávu.;Morgens trinke ich Kaffee.
56;01 Grundlagen;večer;abends;Večer pozeráme film.;Abends schauen wir einen Film.
57;01 Grundlagen;noc;Nacht;Dnes si zapamätám slovo „noc“.;Heute merke ich mir das Wort „Nacht“.
58;01 Grundlagen;deň;Tag;Dnes je pekný deň.;Heute ist ein schöner Tag.
59;01 Grundlagen;týždeň;Woche;Tento týždeň mám veľa práce.;Diese Woche habe ich viel Arbeit.
